source_framework,source_control_id,target_framework,target_control_id,mapping_confidence
nist_800_53,SI-12,soc2,C1.1,medium
nist_800_53,SI-12,soc2,C1.2,medium
nist_800_53,SI-12,soc2,CC2.1,medium
nist_800_53,SI-12,soc2,CC2.2,medium
nist_800_53,SI-12,soc2,CC2.3,medium
nist_800_53,SI-12,soc2,CC3.2,medium
nist_800_53,SI-12,soc2,CC5.1,medium
nist_800_53,SI-12,soc2,CC5.2,medium
nist_800_53,SI-12,soc2,CC6.1,medium
nist_800_53,SI-12,soc2,CC6.5,medium
nist_800_53,SI-12,soc2,CC6.6,medium
nist_800_53,SI-12,soc2,CC6.7,medium
nist_800_53,SI-12,soc2,CC8.1,medium
nist_800_53,SI-12,soc2,P1.1,medium
nist_800_53,SI-12,soc2,P3.1,medium
nist_800_53,SI-12,soc2,P4.0,medium
nist_800_53,SI-12,soc2,P4.1,medium
nist_800_53,SI-12,soc2,P4.2,medium
nist_800_53,SI-12,soc2,P4.3,medium
nist_800_53,SI-12,soc2,P5.0,medium
nist_800_53,SI-12,soc2,P5.1,medium
nist_800_53,SI-12,soc2,P5.2,medium
nist_800_53,SI-12,soc2,P6.0,medium
nist_800_53,SI-12,soc2,P6.1,medium
nist_800_53,SI-12,soc2,P6.2,medium
nist_800_53,SI-12,soc2,P6.3,medium
nist_800_53,SI-12,soc2,P6.4,medium
nist_800_53,SI-12,soc2,P6.7,medium
nist_800_53,SI-12,soc2,PI1.1,medium
nist_800_53,SI-12,soc2,PI1.4,medium
nist_800_53,SI-12,soc2,PI1.5,medium
nist_800_53,SI-2,iso27001,A.5.7,medium
nist_800_53,SI-2,iso27001,A.8.29,medium
nist_800_53,SI-2,iso27001,A.8.7,high
nist_800_53,SI-2,iso27001,A.8.8,high
nist_800_53,SI-2,soc2,A1.2,high
nist_800_53,SI-2,soc2,CC2.2,high
nist_800_53,SI-2,soc2,CC3.2,high
nist_800_53,SI-2,soc2,CC3.3,high
nist_800_53,SI-2,soc2,CC3.4,high
nist_800_53,SI-2,soc2,CC4.2,high
nist_800_53,SI-2,soc2,CC6.7,high
nist_800_53,SI-2,soc2,CC8.1,high
nist_800_53,SI-2,soc2,CC9.1,high
nist_800_53,SI-2,soc2,CC9.2,high
nist_800_53,SI-3,iso27001,A.5.7,medium
nist_800_53,SI-3,iso27001,A.8.29,medium
nist_800_53,SI-3,iso27001,A.8.7,high
nist_800_53,SI-3,iso27001,A.8.8,high
nist_800_53,SI-3,soc2,A1.2,high
nist_800_53,SI-3,soc2,CC2.2,high
nist_800_53,SI-3,soc2,CC3.2,high
nist_800_53,SI-3,soc2,CC3.3,high
nist_800_53,SI-3,soc2,CC3.4,high
nist_800_53,SI-3,soc2,CC4.2,high
nist_800_53,SI-3,soc2,CC6.7,high
nist_800_53,SI-3,soc2,CC8.1,high
nist_800_53,SI-3,soc2,CC9.1,high
nist_800_53,SI-3,soc2,CC9.2,high
nist_800_53,SI-4,iso27001,A.7.4,medium
nist_800_53,SI-4,iso27001,A.8.15,high
nist_800_53,SI-4,iso27001,A.8.16,high
nist_800_53,SI-4,iso27001,A.8.17,high
nist_800_53,SI-4,iso27001,A.8.24,medium
nist_800_53,SI-4,soc2,CC2.1,high
nist_800_53,SI-4,soc2,CC2.2,high
nist_800_53,SI-4,soc2,CC5.2,high
nist_800_53,SI-4,soc2,CC6.1,high
nist_800_53,SI-4,soc2,CC6.4,high
nist_800_53,SI-4,soc2,CC6.6,high
nist_800_53,SI-4,soc2,CC6.7,high
nist_800_53,SI-4,soc2,CC7.2,high
nist_800_53,SI-4,soc2,CC7.3,high
nist_800_53,SI-5,iso27001,A.5.7,medium
nist_800_53,SI-5,iso27001,A.8.29,medium
nist_800_53,SI-5,iso27001,A.8.7,high
nist_800_53,SI-5,iso27001,A.8.8,high
nist_800_53,SI-5,soc2,A1.2,high
nist_800_53,SI-5,soc2,CC2.2,high
nist_800_53,SI-5,soc2,CC3.2,high
nist_800_53,SI-5,soc2,CC3.3,high
nist_800_53,SI-5,soc2,CC3.4,high
nist_800_53,SI-5,soc2,CC4.2,high
nist_800_53,SI-5,soc2,CC6.7,high
nist_800_53,SI-5,soc2,CC8.1,high
nist_800_53,SI-5,soc2,CC9.1,high
nist_800_53,SI-5,soc2,CC9.2,high
nist_800_53,SR-2,iso27001,A.5.19,medium
nist_800_53,SR-2,iso27001,A.5.20,high
nist_800_53,SR-2,iso27001,A.5.21,medium
nist_800_53,SR-2,iso27001,A.5.22,high
nist_800_53,SR-2,iso27001,A.5.23,medium
nist_800_53,SR-2,iso27001,A.5.35,medium
nist_800_53,SR-2,iso27001,A.5.36,medium
nist_800_53,SR-2,soc2,CC1.1,high
nist_800_53,SR-2,soc2,CC1.3,high
nist_800_53,SR-2,soc2,CC1.4,high
nist_800_53,SR-2,soc2,CC2.1,high
nist_800_53,SR-2,soc2,CC2.2,high
nist_800_53,SR-2,soc2,CC2.3,high
nist_800_53,SR-2,soc2,CC3.3,high
nist_800_53,SR-2,soc2,CC3.4,high
nist_800_53,SR-2,soc2,CC9.1,high
nist_800_53,SR-2,soc2,CC9.2,high
nist_800_53,SR-2,soc2,P6.4,high
nist_800_53,SR-3,iso27001,A.5.19,medium
nist_800_53,SR-3,iso27001,A.5.20,high
nist_800_53,SR-3,iso27001,A.5.21,medium
nist_800_53,SR-3,iso27001,A.5.22,high
nist_800_53,SR-3,iso27001,A.5.23,medium
nist_800_53,SR-3,iso27001,A.5.35,medium
nist_800_53,SR-3,iso27001,A.5.36,medium
nist_800_53,SR-3,soc2,CC1.1,high
nist_800_53,SR-3,soc2,CC1.3,high
nist_800_53,SR-3,soc2,CC1.4,high
nist_800_53,SR-3,soc2,CC2.1,high
nist_800_53,SR-3,soc2,CC2.2,high
nist_800_53,SR-3,soc2,CC2.3,high
nist_800_53,SR-3,soc2,CC3.3,high
nist_800_53,SR-3,soc2,CC3.4,high
nist_800_53,SR-3,soc2,CC9.1,high
nist_800_53,SR-3,soc2,CC9.2,high
nist_800_53,SR-3,soc2,P6.4,high
nist_800_53,SR-5,iso27001,A.5.19,medium
nist_800_53,SR-5,iso27001,A.5.20,high
nist_800_53,SR-5,iso27001,A.5.21,medium
nist_800_53,SR-5,iso27001,A.5.22,high
nist_800_53,SR-5,iso27001,A.5.23,medium
nist_800_53,SR-5,iso27001,A.5.35,medium
nist_800_53,SR-5,iso27001,A.5.36,medium
nist_800_53,SR-5,soc2,CC1.1,high
nist_800_53,SR-5,soc2,CC1.3,high
nist_800_53,SR-5,soc2,CC1.4,high
nist_800_53,SR-5,soc2,CC2.1,high
nist_800_53,SR-5,soc2,CC2.2,high
nist_800_53,SR-5,soc2,CC2.3,high
nist_800_53,SR-5,soc2,CC3.3,high
nist_800_53,SR-5,soc2,CC3.4,high
nist_800_53,SR-5,soc2,CC9.1,high
nist_800_53,SR-5,soc2,CC9.2,high
nist_800_53,SR-5,soc2,P6.4,high
nist_800_53,SR-6,iso27001,A.5.19,medium
nist_800_53,SR-6,iso27001,A.5.20,high
nist_800_53,SR-6,iso27001,A.5.21,medium
nist_800_53,SR-6,iso27001,A.5.22,high
nist_800_53,SR-6,iso27001,A.5.23,medium
nist_800_53,SR-6,iso27001,A.5.35,medium
nist_800_53,SR-6,iso27001,A.5.36,medium
nist_800_53,SR-6,soc2,CC1.1,high
nist_800_53,SR-6,soc2,CC1.3,high
nist_800_53,SR-6,soc2,CC1.4,high
nist_800_53,SR-6,soc2,CC2.1,high
nist_800_53,SR-6,soc2,CC2.2,high
nist_800_53,SR-6,soc2,CC2.3,high
nist_800_53,SR-6,soc2,CC3.3,high
nist_800_53,SR-6,soc2,CC3.4,high
nist_800_53,SR-6,soc2,CC9.1,high
nist_800_53,SR-6,soc2,CC9.2,high
nist_800_53,SR-6,soc2,P6.4,high
nist_800_53,SR-8,iso27001,A.5.19,medium
nist_800_53,SR-8,iso27001,A.5.20,high
nist_800_53,SR-8,iso27001,A.5.21,medium
nist_800_53,SR-8,iso27001,A.5.22,high
nist_800_53,SR-8,iso27001,A.5.23,medium
nist_800_53,SR-8,iso27001,A.5.35,medium
nist_800_53,SR-8,iso27001,A.5.36,medium
nist_800_53,SR-8,soc2,CC1.1,high
nist_800_53,SR-8,soc2,CC1.3,high
nist_800_53,SR-8,soc2,CC1.4,high
nist_800_53,SR-8,soc2,CC2.1,high
nist_800_53,SR-8,soc2,CC2.2,high
nist_800_53,SR-8,soc2,CC2.3,high
nist_800_53,SR-8,soc2,CC3.3,high
nist_800_53,SR-8,soc2,CC3.4,high
nist_800_53,SR-8,soc2,CC9.1,high
nist_800_53,SR-8,soc2,CC9.2,high
nist_800_53,SR-8,soc2,P6.4,high
soc2,A1.2,iso27001,A.5.14,high
soc2,A1.2,iso27001,A.5.2,low
soc2,A1.2,iso27001,A.5.24,high
soc2,A1.2,iso27001,A.5.25,high
soc2,A1.2,iso27001,A.5.26,high
soc2,A1.2,iso27001,A.5.28,high
soc2,A1.2,iso27001,A.5.29,high
soc2,A1.2,iso27001,A.5.30,medium
soc2,A1.2,iso27001,A.5.34,medium
soc2,A1.2,iso27001,A.5.36,medium
soc2,A1.2,iso27001,A.5.5,medium
soc2,A1.2,iso27001,A.7.11,high
soc2,A1.2,iso27001,A.7.14,high
soc2,A1.2,iso27001,A.7.3,high
soc2,A1.2,iso27001,A.7.5,high
soc2,A1.2,iso27001,A.7.8,high
soc2,A1.2,iso27001,A.8.11,medium
soc2,A1.2,iso27001,A.8.12,medium
soc2,A1.2,iso27001,A.8.13,high
soc2,A1.2,iso27001,A.8.14,high
soc2,A1.2,iso27001,A.8.24,high
soc2,A1.2,iso27001,A.8.8,high
soc2,A1.2,nist_800_53,AC-16,medium
soc2,A1.2,nist_800_53,AU-6,high
soc2,A1.2,nist_800_53,CA-1,high
soc2,A1.2,nist_800_53,CA-2,high
soc2,A1.2,nist_800_53,CA-7,high
soc2,A1.2,nist_800_53,CP-10,high
soc2,A1.2,nist_800_53,CP-2,high
soc2,A1.2,nist_800_53,CP-4,high
soc2,A1.2,nist_800_53,CP-9,high
soc2,A1.2,nist_800_53,IR-4,high
soc2,A1.2,nist_800_53,IR-5,high
soc2,A1.2,nist_800_53,IR-6,high
soc2,A1.2,nist_800_53,IR-8,high
soc2,A1.2,nist_800_53,MP-1,medium
soc2,A1.2,nist_800_53,MP-6,medium
soc2,A1.2,nist_800_53,PE-13,high
soc2,A1.2,nist_800_53,PE-14,high
soc2,A1.2,nist_800_53,PE-2,high
soc2,A1.2,nist_800_53,PE-3,high
soc2,A1.2,nist_800_53,PE-6,high
soc2,A1.2,nist_800_53,PM-1,high
soc2,A1.2,nist_800_53,PM-14,high
soc2,A1.2,nist_800_53,PM-9,high
soc2,A1.2,nist_800_53,PT-2,medium
soc2,A1.2,nist_800_53,PT-3,medium
soc2,A1.2,nist_800_53,RA-1,high
soc2,A1.2,nist_800_53,RA-3,high
soc2,A1.2,nist_800_53,RA-5,high
soc2,A1.2,nist_800_53,SC-12,high
soc2,A1.2,nist_800_53,SC-13,high
soc2,A1.2,nist_800_53,SC-28,high
soc2,A1.2,nist_800_53,SC-8,high
soc2,A1.2,nist_800_53,SI-12,medium
soc2,A1.2,nist_800_53,SI-2,high
soc2,A1.2,nist_800_53,SI-3,high
soc2,A1.2,nist_800_53,SI-5,high
soc2,A1.3,iso27001,A.5.29,medium
soc2,A1.3,iso27001,A.7.5,high
soc2,A1.3,iso27001,A.7.8,high
soc2,A1.3,iso27001,A.8.13,high
soc2,A1.3,nist_800_53,CP-10,high
soc2,A1.3,nist_800_53,CP-2,high
soc2,A1.3,nist_800_53,CP-4,high
soc2,A1.3,nist_800_53,CP-9,high
soc2,A1.3,nist_800_53,PE-13,high
soc2,A1.3,nist_800_53,PE-14,high
soc2,A1.3,nist_800_53,PE-2,high
soc2,A1.3,nist_800_53,PE-3,high
soc2,A1.3,nist_800_53,PE-6,high
soc2,C1.1,iso27001,A.5.12,high
soc2,C1.1,iso27001,A.5.14,high
soc2,C1.1,iso27001,A.5.33,high
soc2,C1.1,iso27001,A.5.34,medium
soc2,C1.1,iso27001,A.5.9,high
soc2,C1.1,iso27001,A.8.10,high
soc2,C1.1,iso27001,A.8.11,medium
soc2,C1.1,iso27001,A.8.12,medium
soc2,C1.1,iso27001,A.8.24,high
soc2,C1.1,nist_800_53,AC-16,medium
soc2,C1.1,nist_800_53,MP-1,medium
soc2,C1.1,nist_800_53,MP-6,medium
soc2,C1.1,nist_800_53,PE-13,high
soc2,C1.1,nist_800_53,PE-14,high
soc2,C1.1,nist_800_53,PE-2,high
soc2,C1.1,nist_800_53,PE-3,high
soc2,C1.1,nist_800_53,PE-6,high
soc2,C1.1,nist_800_53,PT-2,medium
soc2,C1.1,nist_800_53,PT-3,medium
soc2,C1.1,nist_800_53,SC-12,high
soc2,C1.1,nist_800_53,SC-13,high
soc2,C1.1,nist_800_53,SC-28,high
soc2,C1.1,nist_800_53,SC-8,high
soc2,C1.1,nist_800_53,SI-12,medium
soc2,C1.2,iso27001,A.5.33,high
soc2,C1.2,iso27001,A.7.10,high
soc2,C1.2,iso27001,A.7.14,high
soc2,C1.2,iso27001,A.7.9,medium
soc2,C1.2,iso27001,A.8.10,high
soc2,C1.2,nist_800_53,AC-16,medium
soc2,C1.2,nist_800_53,MP-1,medium
soc2,C1.2,nist_800_53,MP-6,medium
soc2,C1.2,nist_800_53,PE-13,high
soc2,C1.2,nist_800_53,PE-14,high
soc2,C1.2,nist_800_53,PE-2,high
soc2,C1.2,nist_800_53,PE-3,high
soc2,C1.2,nist_800_53,PE-6,high
soc2,C1.2,nist_800_53,PT-2,medium
soc2,C1.2,nist_800_53,PT-3,medium
soc2,C1.2,nist_800_53,SI-12,medium
soc2,CC1.1,iso27001,A.5.1,high
soc2,CC1.1,iso27001,A.5.10,high
soc2,CC1.1,iso27001,A.5.19,medium
soc2,CC1.1,iso27001,A.5.2,high
soc2,CC1.1,iso27001,A.5.20,medium
soc2,CC1.1,iso27001,A.5.21,medium
soc2,CC1.1,iso27001,A.5.23,medium
soc2,CC1.1,iso27001,A.5.24,high
soc2,CC1.1,iso27001,A.5.27,high
soc2,CC1.1,iso27001,A.5.35,high
soc2,CC1.1,iso27001,A.5.36,medium
soc2,CC1.1,iso27001,A.5.4,high
soc2,CC1.1,iso27001,A.6.1,high
soc2,CC1.1,iso27001,A.6.2,high
soc2,CC1.1,iso27001,A.7.7,high
soc2,CC1.1,iso27001,A.8.2,high
soc2,CC1.1,iso27001,A.8.24,high
soc2,CC1.1,iso27001,A.8.29,low
soc2,CC1.1,nist_800_53,AC-2,high
soc2,CC1.1,nist_800_53,AC-3,high
soc2,CC1.1,nist_800_53,AC-6,high
soc2,CC1.1,nist_800_53,AT-2,high
soc2,CC1.1,nist_800_53,AT-3,high
soc2,CC1.1,nist_800_53,AU-6,high
soc2,CC1.1,nist_800_53,CA-1,high
soc2,CC1.1,nist_800_53,CA-2,high
soc2,CC1.1,nist_800_53,CA-7,high
soc2,CC1.1,nist_800_53,IA-2,high
soc2,CC1.1,nist_800_53,IA-5,high
soc2,CC1.1,nist_800_53,IR-4,high
soc2,CC1.1,nist_800_53,IR-5,high
soc2,CC1.1,nist_800_53,IR-6,high
soc2,CC1.1,nist_800_53,IR-8,high
soc2,CC1.1,nist_800_53,PM-1,high
soc2,CC1.1,nist_800_53,PM-14,high
soc2,CC1.1,nist_800_53,PM-9,high
soc2,CC1.1,nist_800_53,PS-1,high
soc2,CC1.1,nist_800_53,PS-2,high
soc2,CC1.1,nist_800_53,PS-3,high
soc2,CC1.1,nist_800_53,PS-4,high
soc2,CC1.1,nist_800_53,PS-6,high
soc2,CC1.1,nist_800_53,RA-1,high
soc2,CC1.1,nist_800_53,RA-3,high
soc2,CC1.1,nist_800_53,SA-11,high
soc2,CC1.1,nist_800_53,SA-3,high
soc2,CC1.1,nist_800_53,SA-8,high
soc2,CC1.1,nist_800_53,SA-9,high
soc2,CC1.1,nist_800_53,SC-12,high
soc2,CC1.1,nist_800_53,SC-13,high
soc2,CC1.1,nist_800_53,SC-28,high
soc2,CC1.1,nist_800_53,SC-8,high
soc2,CC1.1,nist_800_53,SI-10,high
soc2,CC1.1,nist_800_53,SR-2,high
soc2,CC1.1,nist_800_53,SR-3,high
soc2,CC1.1,nist_800_53,SR-5,high
soc2,CC1.1,nist_800_53,SR-6,high
soc2,CC1.1,nist_800_53,SR-8,high
soc2,CC1.2,iso27001,A.5.1,high
soc2,CC1.2,iso27001,A.5.2,high
soc2,CC1.2,iso27001,A.5.27,high
soc2,CC1.2,iso27001,A.6.1,high
soc2,CC1.2,iso27001,A.8.24,high
soc2,CC1.2,iso27001,A.8.29,low
soc2,CC1.2,nist_800_53,AT-2,high
soc2,CC1.2,nist_800_53,AT-3,high
soc2,CC1.2,nist_800_53,CA-1,high
soc2,CC1.2,nist_800_53,IR-4,high
soc2,CC1.2,nist_800_53,IR-5,high
soc2,CC1.2,nist_800_53,IR-6,high
soc2,CC1.2,nist_800_53,IR-8,high
soc2,CC1.2,nist_800_53,PM-1,high
soc2,CC1.2,nist_800_53,PM-9,high
soc2,CC1.2,nist_800_53,PS-1,high
soc2,CC1.2,nist_800_53,PS-2,high
soc2,CC1.2,nist_800_53,PS-3,high
soc2,CC1.2,nist_800_53,PS-4,high
soc2,CC1.2,nist_800_53,PS-6,high
soc2,CC1.2,nist_800_53,RA-1,high
soc2,CC1.2,nist_800_53,RA-3,high
soc2,CC1.2,nist_800_53,SA-11,high
soc2,CC1.2,nist_800_53,SA-3,high
soc2,CC1.2,nist_800_53,SA-8,high
soc2,CC1.2,nist_800_53,SC-12,high
soc2,CC1.2,nist_800_53,SC-13,high
soc2,CC1.2,nist_800_53,SC-28,high
soc2,CC1.2,nist_800_53,SC-8,high
soc2,CC1.2,nist_800_53,SI-10,high
soc2,CC1.3,iso27001,A.5.19,medium
soc2,CC1.3,iso27001,A.5.2,high
soc2,CC1.3,iso27001,A.5.20,medium
soc2,CC1.3,iso27001,A.5.21,medium
soc2,CC1.3,iso27001,A.5.23,medium
soc2,CC1.3,iso27001,A.6.1,high
soc2,CC1.3,iso27001,A.8.24,high
soc2,CC1.3,nist_800_53,AT-2,high
soc2,CC1.3,nist_800_53,AT-3,high
soc2,CC1.3,nist_800_53,CA-1,high
soc2,CC1.3,nist_800_53,PM-1,high
soc2,CC1.3,nist_800_53,PM-9,high
soc2,CC1.3,nist_800_53,PS-1,high
soc2,CC1.3,nist_800_53,PS-2,high
soc2,CC1.3,nist_800_53,PS-3,high
soc2,CC1.3,nist_800_53,PS-4,high
soc2,CC1.3,nist_800_53,PS-6,high
soc2,CC1.3,nist_800_53,RA-1,high
soc2,CC1.3,nist_800_53,RA-3,high
soc2,CC1.3,nist_800_53,SA-9,high
soc2,CC1.3,nist_800_53,SC-12,high
soc2,CC1.3,nist_800_53,SC-13,high
soc2,CC1.3,nist_800_53,SC-28,high
soc2,CC1.3,nist_800_53,SC-8,high
soc2,CC1.3,nist_800_53,SR-2,high
soc2,CC1.3,nist_800_53,SR-3,high
soc2,CC1.3,nist_800_53,SR-5,high
soc2,CC1.3,nist_800_53,SR-6,high
soc2,CC1.3,nist_800_53,SR-8,high
soc2,CC1.4,iso27001,A.5.19,medium
soc2,CC1.4,iso27001,A.5.2,high
soc2,CC1.4,iso27001,A.5.21,medium
soc2,CC1.4,iso27001,A.5.22,high
soc2,CC1.4,iso27001,A.5.24,high
soc2,CC1.4,iso27001,A.6.1,high
soc2,CC1.4,iso27001,A.6.3,high
soc2,CC1.4,iso27001,A.7.12,high
soc2,CC1.4,iso27001,A.8.2,high
soc2,CC1.4,iso27001,A.8.24,high
soc2,CC1.4,nist_800_53,AC-2,high
soc2,CC1.4,nist_800_53,AC-3,high
soc2,CC1.4,nist_800_53,AC-6,high
soc2,CC1.4,nist_800_53,AT-2,high
soc2,CC1.4,nist_800_53,AT-3,high
soc2,CC1.4,nist_800_53,CA-1,high
soc2,CC1.4,nist_800_53,IA-2,high
soc2,CC1.4,nist_800_53,IA-5,high
soc2,CC1.4,nist_800_53,IR-4,high
soc2,CC1.4,nist_800_53,IR-5,high
soc2,CC1.4,nist_800_53,IR-6,high
soc2,CC1.4,nist_800_53,IR-8,high
soc2,CC1.4,nist_800_53,PE-13,high
soc2,CC1.4,nist_800_53,PE-14,high
soc2,CC1.4,nist_800_53,PE-2,high
soc2,CC1.4,nist_800_53,PE-3,high
soc2,CC1.4,nist_800_53,PE-6,high
soc2,CC1.4,nist_800_53,PM-1,high
soc2,CC1.4,nist_800_53,PM-9,high
soc2,CC1.4,nist_800_53,PS-1,high
soc2,CC1.4,nist_800_53,PS-2,high
soc2,CC1.4,nist_800_53,PS-3,high
soc2,CC1.4,nist_800_53,PS-4,high
soc2,CC1.4,nist_800_53,PS-6,high
soc2,CC1.4,nist_800_53,RA-1,high
soc2,CC1.4,nist_800_53,RA-3,high
soc2,CC1.4,nist_800_53,SA-9,high
soc2,CC1.4,nist_800_53,SC-12,high
soc2,CC1.4,nist_800_53,SC-13,high
soc2,CC1.4,nist_800_53,SC-28,high
soc2,CC1.4,nist_800_53,SC-8,high
soc2,CC1.4,nist_800_53,SR-2,high
soc2,CC1.4,nist_800_53,SR-3,high
soc2,CC1.4,nist_800_53,SR-5,high
soc2,CC1.4,nist_800_53,SR-6,high
soc2,CC1.4,nist_800_53,SR-8,high
soc2,CC1.5,iso27001,A.5.18,high
soc2,CC1.5,iso27001,A.5.2,high
soc2,CC1.5,iso27001,A.5.27,high
soc2,CC1.5,iso27001,A.5.31,high
soc2,CC1.5,iso27001,A.5.35,medium
soc2,CC1.5,iso27001,A.5.36,medium
soc2,CC1.5,iso27001,A.6.1,high
soc2,CC1.5,iso27001,A.6.5,high
soc2,CC1.5,iso27001,A.6.6,high
soc2,CC1.5,iso27001,A.8.24,high
soc2,CC1.5,iso27001,A.8.29,low
soc2,CC1.5,nist_800_53,AC-2,high
soc2,CC1.5,nist_800_53,AC-3,high
soc2,CC1.5,nist_800_53,AC-6,high
soc2,CC1.5,nist_800_53,AT-2,high
soc2,CC1.5,nist_800_53,AT-3,high
soc2,CC1.5,nist_800_53,AU-6,high
soc2,CC1.5,nist_800_53,CA-1,high
soc2,CC1.5,nist_800_53,CA-2,high
soc2,CC1.5,nist_800_53,CA-7,high
soc2,CC1.5,nist_800_53,IA-2,high
soc2,CC1.5,nist_800_53,IA-5,high
soc2,CC1.5,nist_800_53,IR-4,high
soc2,CC1.5,nist_800_53,IR-5,high
soc2,CC1.5,nist_800_53,IR-6,high
soc2,CC1.5,nist_800_53,IR-8,high
soc2,CC1.5,nist_800_53,PM-1,high
soc2,CC1.5,nist_800_53,PM-14,high
soc2,CC1.5,nist_800_53,PM-9,high
soc2,CC1.5,nist_800_53,PS-1,high
soc2,CC1.5,nist_800_53,PS-2,high
soc2,CC1.5,nist_800_53,PS-3,high
soc2,CC1.5,nist_800_53,PS-4,high
soc2,CC1.5,nist_800_53,PS-6,high
soc2,CC1.5,nist_800_53,RA-1,high
soc2,CC1.5,nist_800_53,RA-3,high
soc2,CC1.5,nist_800_53,SA-11,high
soc2,CC1.5,nist_800_53,SA-3,high
soc2,CC1.5,nist_800_53,SA-8,high
soc2,CC1.5,nist_800_53,SC-12,high
soc2,CC1.5,nist_800_53,SC-13,high
soc2,CC1.5,nist_800_53,SC-28,high
soc2,CC1.5,nist_800_53,SC-8,high
soc2,CC1.5,nist_800_53,SI-10,high
soc2,CC2.1,iso27001,A.5.12,high
soc2,CC2.1,iso27001,A.5.14,high
soc2,CC2.1,iso27001,A.5.19,medium
soc2,CC2.1,iso27001,A.5.2,high
soc2,CC2.1,iso27001,A.5.22,medium
soc2,CC2.1,iso27001,A.5.27,high
soc2,CC2.1,iso27001,A.5.34,medium
soc2,CC2.1,iso27001,A.5.9,high
soc2,CC2.1,iso27001,A.7.1,high
soc2,CC2.1,iso27001,A.7.2,high
soc2,CC2.1,iso27001,A.8.1,medium
soc2,CC2.1,iso27001,A.8.11,medium
soc2,CC2.1,iso27001,A.8.12,medium
soc2,CC2.1,iso27001,A.8.15,high
soc2,CC2.1,iso27001,A.8.24,high
soc2,CC2.1,iso27001,A.8.29,low
soc2,CC2.1,nist_800_53,AC-16,medium
soc2,CC2.1,nist_800_53,AC-19,medium
soc2,CC2.1,nist_800_53,AT-2,high
soc2,CC2.1,nist_800_53,AT-3,high
soc2,CC2.1,nist_800_53,AU-12,high
soc2,CC2.1,nist_800_53,AU-2,high
soc2,CC2.1,nist_800_53,AU-3,high
soc2,CC2.1,nist_800_53,AU-6,high
soc2,CC2.1,nist_800_53,CA-1,high
soc2,CC2.1,nist_800_53,CM-6,medium
soc2,CC2.1,nist_800_53,CM-8,medium
soc2,CC2.1,nist_800_53,IR-4,high
soc2,CC2.1,nist_800_53,IR-5,high
soc2,CC2.1,nist_800_53,IR-6,high
soc2,CC2.1,nist_800_53,IR-8,high
soc2,CC2.1,nist_800_53,MP-1,medium
soc2,CC2.1,nist_800_53,MP-6,medium
soc2,CC2.1,nist_800_53,MP-7,medium
soc2,CC2.1,nist_800_53,PE-13,high
soc2,CC2.1,nist_800_53,PE-14,high
soc2,CC2.1,nist_800_53,PE-2,high
soc2,CC2.1,nist_800_53,PE-3,high
soc2,CC2.1,nist_800_53,PE-6,high
soc2,CC2.1,nist_800_53,PM-1,high
soc2,CC2.1,nist_800_53,PM-9,high
soc2,CC2.1,nist_800_53,PS-1,high
soc2,CC2.1,nist_800_53,PS-2,high
soc2,CC2.1,nist_800_53,PS-3,high
soc2,CC2.1,nist_800_53,PS-4,high
soc2,CC2.1,nist_800_53,PS-6,high
soc2,CC2.1,nist_800_53,PT-2,medium
soc2,CC2.1,nist_800_53,PT-3,medium
soc2,CC2.1,nist_800_53,RA-1,high
soc2,CC2.1,nist_800_53,RA-3,high
soc2,CC2.1,nist_800_53,SA-11,high
soc2,CC2.1,nist_800_53,SA-3,high
soc2,CC2.1,nist_800_53,SA-8,high
soc2,CC2.1,nist_800_53,SA-9,high
soc2,CC2.1,nist_800_53,SC-12,high
soc2,CC2.1,nist_800_53,SC-13,high
soc2,CC2.1,nist_800_53,SC-28,high
soc2,CC2.1,nist_800_53,SC-7,medium
soc2,CC2.1,nist_800_53,SC-8,high
soc2,CC2.1,nist_800_53,SI-10,high
soc2,CC2.1,nist_800_53,SI-12,medium
soc2,CC2.1,nist_800_53,SI-4,high
soc2,CC2.1,nist_800_53,SR-2,high
soc2,CC2.1,nist_800_53,SR-3,high
soc2,CC2.1,nist_800_53,SR-5,high
soc2,CC2.1,nist_800_53,SR-6,high
soc2,CC2.1,nist_800_53,SR-8,high
soc2,CC2.2,iso27001,A.5.19,medium
soc2,CC2.2,iso27001,A.5.2,high
soc2,CC2.2,iso27001,A.5.20,medium
soc2,CC2.2,iso27001,A.5.21,medium
soc2,CC2.2,iso27001,A.5.23,medium
soc2,CC2.2,iso27001,A.5.24,high
soc2,CC2.2,iso27001,A.5.25,high
soc2,CC2.2,iso27001,A.5.26,high
soc2,CC2.2,iso27001,A.5.27,high
soc2,CC2.2,iso27001,A.5.28,high
soc2,CC2.2,iso27001,A.5.31,high
soc2,CC2.2,iso27001,A.5.34,medium
soc2,CC2.2,iso27001,A.5.35,high
soc2,CC2.2,iso27001,A.5.36,medium
soc2,CC2.2,iso27001,A.5.5,high
soc2,CC2.2,iso27001,A.5.6,high
soc2,CC2.2,iso27001,A.6.1,high
soc2,CC2.2,iso27001,A.6.3,high
soc2,CC2.2,iso27001,A.7.12,high
soc2,CC2.2,iso27001,A.8.11,medium
soc2,CC2.2,iso27001,A.8.12,medium
soc2,CC2.2,iso27001,A.8.15,high
soc2,CC2.2,iso27001,A.8.24,high
soc2,CC2.2,iso27001,A.8.27,medium
